sample1;6.973130745;3.834816361;3.043617882;2.104685082;4.868912455;5.720278632;1.488886297;3.805506289;2.668731914;5.393242344;6.614763465;4.969657312;4.7394585;3.134581994
sample1;3.079105141;0.333539077;3.958363897;2.730260856;4.197056343;3.231504761;4.06943598;3.120016706;1.651381604;4.888340743;6.267342102;5.594221208;6.483089869;3.530761749
sample1;7.01105034;4.914753022;3.49399493;1.461890278;2.262598193;5.951344844;2.845190211;3.759098294;3.129521216;5.784217538;4.542879675;6.610038528;6.060850632;4.151656809
sample1;5.60596729;3.855393073;2.747999463;4.161864299;4.98853022;2.741355015;4.853863123;6.085984342;5.141501995;5.171189134;3.492134391;4.547756646;3.714796881;3.440080587
sample1;2.931873084;4.830779236;5.188039158;2.894800013;4.00747481;2.231308106;2.843100175;4.845448162;5.407804764;2.892574852;4.440724883;3.421198458;5.749382206;3.678320239
sample1;3.836662154;2.710351331;2.322532337;5.440673658;2.479108732;2.083887291;2.219797406;5.108255834;3.015646867;2.266336246;5.632795847;5.542562353;5.598423024;3.916427334
sample1;5.178578655;1.348055396;2.820937241;3.136496201;0.688999163;2.427692638;4.975498597;6.283672863;2.256217325;4.533095787;5.932760434;6.290495426;2.328913402;6.652964954
sample1;7.231705236;1.443357794;3.409406235;5.457728993;1.097265488;5.665430078;3.150673136;4.268524093;4.422400411;1.802591454;7.075511679;6.967731318;4.470222575;4.809133037
sample1;7.268613735;3.938402207;1.129912235;2.125006802;4.191603665;6.476890926;4.861381273;6.864125275;4.29024333;5.687869813;5.716711732;6.468744386;3.451407452;4.082197606
sample1;3.232236468;5.11024522;1.977624766;4.988506769;1.65498974;2.638490438;3.960087772;6.779384527;4.785441986;4.194590541;4.402578494;4.041564749;4.915746432;3.208140133
sample1;7.297134968;1.92706015;1.41321862;5.295265184;3.729891461;5.5447777;0.70940303;4.197425787;2.874902565;5.164477765;4.687037769;2.441807621;4.454833622;5.623147486
sample1;7.2300058;3.907820606;1.314688842;3.139340251;0.835416686;1.786944046;1.580714726;6.752077654;1.022655491;4.24120299;3.893762228;5.042032369;2.772483535;3.842380806
sample1;4.871049303;0.693773886;5.27216594;3.948157361;3.693406469;2.223924131;1.218035872;2.812751389;5.694711769;2.130513116;4.54058773;5.428628872;5.975253323;3.655118828
sample1;6.445573404;3.128757549;0.98773405;1.462356404;0.304523478;2.58764267;2.22888424;6.868616762;3.26151307;1.660360011;5.673819428;3.4426653;5.189422313;3.91514961
